Row_ID,Order_ID,Region,Category,City,Sales,Discount,Profit
39,ORD-10039,West,Furniture,New York,70.21,0.2,3.37
40,ORD-10040,East,Furniture,Chicago,118.24,0.4,-1.71
41,ORD-10041,Central,Furniture,Denver,63.96,0.3,0.64
42,ORD-10042,East,Furniture,Chicago,104.42,0.1,17.24
43,ORD-10043,West,Office Supplies,New York,174.77,0.0,33.59
44,ORD-10044,East,Office Supplies,Phoenix,145.64,0.0,24.9
45,ORD-10045,Central,Office Supplies,New York,77.14,0.2,2.61
46,ORD-10046,South,Furniture,Los Angeles,57.16,0.1,9.15
47,ORD-10047,West,Furniture,Denver,104.64,0.4,6.62
48,ORD-10048,South,Office Supplies,Houston,87.91,0.0,8.41
49,ORD-10049,Central,Office Supplies,Seattle,152.44,0.2,3.54
50,ORD-10050,West,Technology,New York,199.86,0.0,22.61
51,ORD-10051,South,Technology,Atlanta,73.39,0.1,10.09
52,ORD-10052,East,Office Supplies,Chicago,46.85,0.3,2.66
53,ORD-10053,East,Office Supplies,Chicago,30.98,0.3,1.86
54,ORD-10054,East,Office Supplies,New York,53.83,0.1,7.01
55,ORD-10055,Central,Office Supplies,Seattle,112.59,0.0,16.92
56,ORD-10056,Central,Office Supplies,Phoenix,246.92,0.2,7.6
57,ORD-10057,West,Technology,Seattle,45.05,0.3,3.95
58,ORD-10058,West,Furniture,Los Angeles,181.64,0.1,28.28
59,ORD-10059,South,Furniture,Seattle,73.98,0.0,7.26
60,ORD-10060,South,Office Supplies,Atlanta,78.55,0.2,7.29
61,ORD-10061,East,Furniture,Los Angeles,270.79,0.1,24.3
62,ORD-10062,South,Technology,Chicago,60.07,0.1,9.61
63,ORD-10063,East,Office Supplies,Atlanta,122.83,0.0,16.51
64,ORD-10064,East,Technology,Phoenix,109.57,0.1,19.12
65,ORD-10065,East,Office Supplies,Chicago,136.67,0.2,17.08
66,ORD-10066,South,Office Supplies,Denver,63.26,0.0,5.62
67,ORD-10067,Central,Technology,Phoenix,39.49,0.2,3.47
68,ORD-10068,East,Furniture,Seattle,59.19,0.0,7.72
69,ORD-10069,West,Technology,Phoenix,100.84,0.2,11.61
70,ORD-10070,Central,Office Supplies,Chicago,74.39,0.2,5.39
71,ORD-10071,West,Furniture,Atlanta,103.91,0.3,3.15
72,ORD-10072,West,Technology,Phoenix,119.19,0.3,10.11
73,ORD-10073,South,Office Supplies,New York,34.31,0.3,1.49
74,ORD-10074,West,Furniture,New York,64.89,0.3,4.9
75,ORD-10075,East,Office Supplies,Los Angeles,130.86,0.2,18.42
76,ORD-10076,East,Office Supplies,Seattle,98.84,0.2,5.47
77,ORD-10077,West,Furniture,Los Angeles,31.2,0.3,3.5
78,ORD-10078,Central,Office Supplies,Phoenix,82.58,0.2,9.76
79,ORD-10079,West,Office Supplies,Atlanta,136.1,0.1,11.95
80,ORD-10080,East,Technology,Houston,274.67,0.1,56.49
81,ORD-10081,South,Technology,Denver,97.69,0.2,16.54
82,ORD-10082,West,Furniture,Phoenix,361.04,0.1,52.86
83,ORD-10083,East,Office Supplies,Phoenix,139.57,0.0,23.59
84,ORD-10084,East,Office Supplies,Chicago,178.9,0.0,20.24
85,ORD-10085,East,Technology,New York,107.48,0.2,13.15
86,ORD-10086,East,Technology,Denver,44.32,0.2,8.04
87,ORD-10087,East,Office Supplies,Atlanta,93.14,0.1,10.31
88,ORD-10088,East,Technology,Denver,40.53,0.0,7.67
89,ORD-10089,East,Office Supplies,New York,65.11,0.1,8.87
90,ORD-10090,South,Office Supplies,Houston,78.57,0.3,1.87
91,ORD-10091,West,Furniture,Los Angeles,205.23,0.0,23.53
92,ORD-10092,West,Furniture,Phoenix,253.39,0.3,5.48
93,ORD-10093,West,Office Supplies,Denver,91.91,0.4,11.84
94,ORD-10094,Central,Office Supplies,New York,44.88,0.3,3.06
95,ORD-10095,West,Office Supplies,Chicago,201.04,0.3,9.14
96,ORD-10096,Central,Furniture,Phoenix,26.43,0.0,3.4
97,ORD-10097,Central,Office Supplies,Seattle,72.99,0.3,3.17
98,ORD-10098,West,Office Supplies,Chicago,132.26,0.2,11.86
99,ORD-10099,East,Office Supplies,Seattle,139.56,0.0,18.08
100,ORD-10100,West,Furniture,New York,61.07,0.3,3.74
101,ORD-10101,East,Furniture,Phoenix,228.3,0.2,25.06
102,ORD-10102,Central,Office Supplies,Los Angeles,73.98,0.3,1.2
103,ORD-10103,West,Technology,Houston,59.68,0.1,11.34
104,ORD-10104,West,Furniture,New York,119.6,0.1,13.79
105,ORD-10105,West,Office Supplies,Los Angeles,87.92,0.0,12.75
106,ORD-10106,Central,Office Supplies,Seattle,135.06,0.0,10.37
107,ORD-10107,Central,Office Supplies,Denver,96.99,0.4,3.28
108,ORD-10108,East,Technology,Houston,95.17,0.1,12.64
109,ORD-10109,South,Furniture,Atlanta,169.61,0.2,11.7
110,ORD-10110,West,Technology,Atlanta,82.88,0.0,14.01
111,ORD-10111,East,Office Supplies,Denver,65.67,0.3,1.68
112,ORD-10112,Central,Office Supplies,Phoenix,68.0,0.2,3.72
113,ORD-10113,Central,Office Supplies,New York,264.14,0.1,37.67
114,ORD-10114,East,Office Supplies,Los Angeles,289.84,0.4,6.44
115,ORD-10115,West,Furniture,Denver,83.14,0.1,9.92
116,ORD-10116,West,Technology,Houston,116.8,0.1,20.31
117,ORD-10117,South,Office Supplies,Seattle,201.2,0.1,26.22
118,ORD-10118,Central,Office Supplies,Atlanta,71.72,0.3,0.91
119,ORD-10119,West,Office Supplies,Chicago,128.86,0.4,4.79
120,ORD-10120,Central,Technology,Phoenix,86.93,0.4,2.47
121,ORD-10121,East,Technology,Los Angeles,228.66,0.1,32.7
122,ORD-10122,South,Furniture,Seattle,162.3,0.2,0.23
123,ORD-10123,East,Office Supplies,Seattle,39.53,0.3,1.24
124,ORD-10124,East,Office Supplies,Denver,198.0,0.1,24.1
125,ORD-10125,East,Office Supplies,New York,189.13,0.1,25.56
126,ORD-10126,South,Furniture,Atlanta,134.57,0.4,1.14
127,ORD-10127,Central,Office Supplies,Chicago,40.18,0.0,3.88
128,ORD-10128,East,Office Supplies,Phoenix,100.62,0.1,21.47
129,ORD-10129,East,Furniture,New York,88.17,0.3,10.12
130,ORD-10130,East,Technology,Atlanta,201.78,0.4,22.05
131,ORD-10131,South,Furniture,Los Angeles,512.1,0.0,50.79
132,ORD-10132,South,Furniture,Atlanta,101.21,0.2,8.15
133,ORD-10133,West,Technology,Phoenix,97.66,0.3,13.11
134,ORD-10134,South,Office Supplies,New York,145.55,0.2,7.76
135,ORD-10135,Central,Technology,Phoenix,76.85,0.4,4.8
136,ORD-10136,East,Technology,New York,161.78,0.1,27.25
137,ORD-10137,East,Technology,Seattle,108.4,0.3,14.28
138,ORD-10138,East,Furniture,Seattle,70.66,0.0,7.67
139,ORD-10139,West,Technology,New York,57.41,0.2,7.75
140,ORD-10140,Central,Furniture,Chicago,183.88,0.1,9.97
141,ORD-10141,South,Technology,Atlanta,70.6,0.0,7.0
142,ORD-10142,West,Office Supplies,Phoenix,191.89,0.1,40.99
143,ORD-10143,West,Furniture,Denver,163.48,0.2,16.06
144,ORD-10144,East,Technology,Atlanta,280.58,0.2,34.71
145,ORD-10145,South,Furniture,Chicago,51.4,0.2,0.76
146,ORD-10146,South,Furniture,Houston,39.81,0.0,3.03
147,ORD-10147,East,Technology,Denver,82.3,0.1,10.33
148,ORD-10148,Central,Technology,Chicago,158.64,0.0,30.63
149,ORD-10149,Central,Office Supplies,Denver,364.19,0.3,16.49
150,ORD-10150,South,Office Supplies,Houston,58.94,0.2,3.98
151,ORD-10151,East,Furniture,Denver,59.53,0.0,9.68
152,ORD-10152,East,Technology,Phoenix,99.32,0.0,13.07
153,ORD-10153,South,Technology,Houston,151.0,0.0,19.01
154,ORD-10154,South,Technology,Los Angeles,127.37,0.3,5.48
155,ORD-10155,West,Office Supplies,Phoenix,20.78,0.0,4.43
156,ORD-10156,Central,Technology,Chicago,131.24,0.1,13.19
157,ORD-10157,South,Office Supplies,Los Angeles,37.57,0.2,4.65
158,ORD-10158,Central,Technology,Atlanta,208.4,0.3,5.78
159,ORD-10159,East,Furniture,Atlanta,183.29,0.1,4.62
160,ORD-10160,East,Furniture,Houston,247.73,0.1,25.84
161,ORD-10161,Central,Technology,Seattle,145.36,0.0,12.71
162,ORD-10162,Central,Technology,Seattle,37.18,0.3,1.07
163,ORD-10163,West,Office Supplies,Seattle,26.88,0.0,4.02
164,ORD-10164,East,Furniture,Denver,79.3,0.0,11.05
165,ORD-10165,Central,Furniture,Denver,48.04,0.4,-0.75
166,ORD-10166,West,Furniture,Phoenix,44.13,0.2,3.56
167,ORD-10167,East,Office Supplies,Denver,271.54,0.2,46.92
168,ORD-10168,West,Furniture,Seattle,169.53,0.1,20.11
169,ORD-10169,Central,Furniture,Los Angeles,348.03,0.4,8.59
170,ORD-10170,Central,Technology,Los Angeles,96.5,0.0,12.72
171,ORD-10171,Central,Office Supplies,Denver,73.06,0.1,7.91
172,ORD-10172,East,Technology,Los Angeles,220.49,0.1,30.89
173,ORD-10173,East,Technology,Chicago,120.23,0.1,14.66
174,ORD-10174,Central,Furniture,Los Angeles,180.5,0.1,18.52
175,ORD-10175,East,Office Supplies,Los Angeles,95.07,0.3,7.66
176,ORD-10176,Central,Office Supplies,Chicago,268.54,0.3,17.37
177,ORD-10177,South,Office Supplies,Chicago,293.72,0.1,36.55
178,ORD-10178,Central,Furniture,Houston,112.7,0.3,2.92
179,ORD-10179,Central,Technology,Denver,62.31,0.0,13.35
180,ORD-10180,Central,Technology,Denver,72.7,0.0,8.41
181,ORD-10181,East,Furniture,Denver,108.03,0.1,11.43
182,ORD-10182,Central,Furniture,Los Angeles,130.21,0.4,-7.75
183,ORD-10183,West,Office Supplies,Seattle,99.17,0.0,17.39
184,ORD-10184,East,Technology,Phoenix,388.94,0.1,46.71
185,ORD-10185,Central,Office Supplies,Houston,105.41,0.2,9.39
186,ORD-10186,West,Technology,Denver,103.48,0.1,20.88
187,ORD-10187,South,Office Supplies,New York,102.95,0.2,18.49
188,ORD-10188,South,Office Supplies,Los Angeles,377.77,0.0,41.27
189,ORD-10189,South,Office Supplies,Seattle,48.72,0.1,4.45
190,ORD-10190,South,Furniture,Atlanta,71.13,0.0,3.53
191,ORD-10191,Central,Technology,Atlanta,202.04,0.4,17.95
192,ORD-10192,South,Technology,Seattle,103.62,0.1,17.29
193,ORD-10193,West,Office Supplies,Chicago,67.65,0.3,6.87
194,ORD-10194,Central,Technology,Chicago,62.11,0.2,5.48
195,ORD-10195,West,Furniture,Phoenix,65.42,0.0,5.03
196,ORD-10196,Central,Office Supplies,Houston,97.37,0.0,10.57
197,ORD-10197,West,Office Supplies,Los Angeles,78.72,0.0,17.96
198,ORD-10198,East,Furniture,Denver,85.11,0.2,6.94
199,ORD-10199,South,Technology,Phoenix,406.36,0.0,62.45
200,ORD-10200,Central,Office Supplies,New York,104.72,0.2,5.46
201,ORD-10201,Central,Technology,Phoenix,97.03,0.2,4.48
202,ORD-10202,East,Furniture,New York,123.28,0.1,16.45
203,ORD-10203,South,Furniture,Seattle,267.83,0.1,14.66
204,ORD-10204,South,Office Supplies,Phoenix,132.34,0.2,9.46
205,ORD-10205,East,Furniture,Phoenix,259.56,0.0,23.06
206,ORD-10206,East,Furniture,Denver,29.12,0.2,0.19
207,ORD-10207,East,Office Supplies,Phoenix,118.33,0.0,19.67
208,ORD-10208,South,Office Supplies,Atlanta,77.63,0.4,1.44
209,ORD-10209,South,Office Supplies,New York,42.87,0.0,5.94
210,ORD-10210,West,Office Supplies,Chicago,107.72,0.0,14.57
211,ORD-10211,East,Technology,Los Angeles,61.5,0.0,10.78
212,ORD-10212,Central,Office Supplies,Phoenix,38.55,0.0,6.31
213,ORD-10213,Central,Office Supplies,Seattle,162.94,0.1,14.24
214,ORD-10214,East,Office Supplies,Phoenix,164.65,0.1,24.68
215,ORD-10215,South,Technology,Houston,121.92,0.1,9.97
216,ORD-10216,East,Technology,New York,61.27,0.3,7.46
217,ORD-10217,West,Office Supplies,Los Angeles,291.06,0.3,25.05
218,ORD-10218,West,Office Supplies,Phoenix,103.17,0.1,13.68
219,ORD-10219,East,Office Supplies,Phoenix,65.58,0.1,8.74
220,ORD-10220,South,Office Supplies,Los Angeles,64.64,0.1,3.86
221,ORD-10221,East,Technology,Denver,41.79,0.1,7.34
222,ORD-10222,South,Technology,Denver,80.46,0.0,15.19
223,ORD-10223,West,Technology,Seattle,137.48,0.0,32.24
224,ORD-10224,West,Furniture,Atlanta,63.79,0.4,1.92
225,ORD-10225,East,Office Supplies,Los Angeles,77.4,0.1,11.61
226,ORD-10226,Central,Office Supplies,Houston,64.52,0.1,2.34
227,ORD-10227,East,Furniture,Seattle,170.24,0.2,7.09
228,ORD-10228,South,Office Supplies,Chicago,15.46,0.0,1.84
229,ORD-10229,West,Technology,Atlanta,77.72,0.1,11.81
230,ORD-10230,West,Technology,Chicago,59.8,0.0,13.27
231,ORD-10231,Central,Office Supplies,Houston,70.95,0.0,11.02
232,ORD-10232,Central,Office Supplies,Los Angeles,47.55,0.0,3.14
233,ORD-10233,East,Office Supplies,New York,173.37,0.1,17.19
234,ORD-10234,Central,Office Supplies,Seattle,44.04,0.0,4.49
235,ORD-10235,East,Office Supplies,New York,255.6,0.0,30.95
236,ORD-10236,South,Technology,Chicago,127.16,0.1,21.5
237,ORD-10237,South,Office Supplies,New York,56.12,0.0,8.46
238,ORD-10238,Central,Furniture,Los Angeles,97.96,0.3,-3.94
239,ORD-10239,Central,Furniture,Chicago,131.76,0.1,3.22
240,ORD-10240,East,Office Supplies,Atlanta,124.67,0.1,20.79
241,ORD-10241,West,Furniture,Seattle,110.88,0.2,17.1
242,ORD-10242,East,Furniture,Chicago,125.07,0.0,20.45
243,ORD-10243,South,Technology,Phoenix,30.39,0.0,4.71
244,ORD-10244,South,Office Supplies,Atlanta,99.67,0.2,3.26
245,ORD-10245,West,Technology,Atlanta,36.61,0.3,4.02
246,ORD-10246,Central,Technology,Houston,174.84,0.1,8.05
247,ORD-10247,Central,Technology,Seattle,178.89,0.1,23.75
248,ORD-10248,East,Furniture,New York,123.56,0.2,10.58
249,ORD-10249,East,Office Supplies,Seattle,96.05,0.0,14.44
250,ORD-10250,South,Technology,Los Angeles,82.13,0.2,6.66
251,ORD-10251,West,Technology,Chicago,34.29,0.2,6.86
252,ORD-10252,South,Office Supplies,New York,128.87,0.0,20.52
253,ORD-10253,East,Office Supplies,Atlanta,29.84,0.3,2.42
254,ORD-10254,West,Office Supplies,Atlanta,65.36,0.2,7.53
255,ORD-10255,East,Office Supplies,Los Angeles,241.84,0.3,13.09
256,ORD-10256,East,Office Supplies,New York,237.07,0.2,5.12
257,ORD-10257,South,Technology,Denver,113.41,0.0,11.58
258,ORD-10258,South,Technology,Denver,195.13,0.3,12.92
259,ORD-10259,South,Office Supplies,New York,88.18,0.1,11.82
260,ORD-10260,East,Office Supplies,Denver,73.22,0.4,0.03
261,ORD-10261,Central,Furniture,Seattle,158.7,0.2,11.91
262,ORD-10262,Central,Furniture,Phoenix,69.2,0.1,3.58
263,ORD-10263,Central,Technology,Chicago,81.5,0.2,6.94
264,ORD-10264,Central,Furniture,Los Angeles,105.55,0.2,-0.23
265,ORD-10265,East,Technology,Denver,174.04,0.0,38.04
266,ORD-10266,Central,Office Supplies,New York,27.29,0.3,1.98
267,ORD-10267,Central,Technology,New York,222.21,0.1,29.8
268,ORD-10268,Central,Office Supplies,Seattle,50.55,0.0,1.82
269,ORD-10269,West,Office Supplies,Los Angeles,117.56,0.0,15.96
270,ORD-10270,South,Furniture,Phoenix,181.69,0.0,21.37
271,ORD-10271,West,Technology,New York,64.15,0.2,9.61
272,ORD-10272,South,Technology,Los Angeles,198.27,0.0,33.37
273,ORD-10273,West,Office Supplies,Los Angeles,64.94,0.2,7.63
274,ORD-10274,East,Office Supplies,Chicago,97.85,0.1,8.18
275,ORD-10275,West,Technology,Los Angeles,25.57,0.2,3.83
276,ORD-10276,South,Office Supplies,Houston,65.72,0.3,0.31
277,ORD-10277,East,Technology,Los Angeles,350.12,0.2,57.79
278,ORD-10278,West,Office Supplies,Denver,140.93,0.3,10.9
279,ORD-10279,West,Office Supplies,Phoenix,166.95,0.2,22.82
280,ORD-10280,Central,Office Supplies,Chicago,101.74,0.1,12.34
281,ORD-10281,West,Office Supplies,Denver,80.45,0.3,5.61
282,ORD-10282,East,Technology,Denver,56.89,0.3,4.48
283,ORD-10283,Central,Furniture,Atlanta,143.7,0.1,12.22
284,ORD-10284,South,Furniture,Seattle,67.41,0.1,1.74
285,ORD-10285,South,Office Supplies,New York,82.53,0.0,8.3
286,ORD-10286,East,Furniture,Seattle,57.15,0.0,10.07
287,ORD-10287,West,Office Supplies,Seattle,255.17,0.3,43.54
288,ORD-10288,Central,Technology,Denver,148.7,0.3,4.95
289,ORD-10289,West,Furniture,New York,149.01,0.3,10.49
290,ORD-10290,South,Furniture,Atlanta,21.61,0.0,0.13
291,ORD-10291,Central,Furniture,Los Angeles,113.56,0.1,1.75
292,ORD-10292,Central,Office Supplies,Seattle,108.71,0.3,-0.73
293,ORD-10293,Central,Office Supplies,Chicago,89.0,0.4,2.68
294,ORD-10294,East,Office Supplies,Los Angeles,304.12,0.2,30.76
295,ORD-10295,Central,Furniture,Chicago,28.05,0.2,-0.71
296,ORD-10296,South,Office Supplies,Chicago,70.81,0.0,10.38
297,ORD-10297,West,Furniture,Denver,88.58,0.1,7.03
298,ORD-10298,East,Office Supplies,Houston,267.56,0.1,31.27
299,ORD-10299,East,Office Supplies,Los Angeles,404.71,0.0,94.96
300,ORD-10300,South,Furniture,Seattle,68.94,0.2,4.4
301,ORD-10301,East,Office Supplies,Seattle,60.56,0.3,4.85
302,ORD-10302,East,Furniture,Phoenix,422.27,0.1,15.06
303,ORD-10303,East,Office Supplies,Phoenix,57.92,0.2,2.69
304,ORD-10304,South,Office Supplies,Seattle,141.08,0.1,13.01
305,ORD-10305,South,Furniture,Houston,127.96,0.2,6.57
306,ORD-10306,Central,Furniture,Chicago,99.54,0.2,-0.14
307,ORD-10307,Central,Furniture,Chicago,97.22,0.3,3.41
308,ORD-10308,East,Furniture,Houston,83.55,0.3,7.6
309,ORD-10309,South,Office Supplies,Chicago,56.91,0.1,6.17
310,ORD-10310,Central,Office Supplies,Denver,163.58,0.1,15.17
311,ORD-10311,West,Furniture,Atlanta,95.92,0.2,3.14
312,ORD-10312,South,Furniture,Los Angeles,210.87,0.0,33.2
313,ORD-10313,South,Furniture,Los Angeles,143.67,0.1,13.26
314,ORD-10314,West,Office Supplies,Houston,97.56,0.0,20.25
315,ORD-10315,Central,Technology,Chicago,62.33,0.2,6.12
316,ORD-10316,South,Office Supplies,Los Angeles,43.22,0.2,3.47
317,ORD-10317,East,Technology,Denver,204.41,0.2,25.66
318,ORD-10318,East,Office Supplies,Phoenix,113.59,0.2,13.18
319,ORD-10319,Central,Technology,Phoenix,50.46,0.2,3.68
320,ORD-10320,South,Furniture,Chicago,79.4,0.2,7.56
321,ORD-10321,East,Technology,Chicago,68.49,0.0,11.45
322,ORD-10322,West,Technology,Denver,92.7,0.1,11.09
323,ORD-10323,Central,Furniture,Houston,60.18,0.3,0.95
324,ORD-10324,Central,Furniture,Chicago,238.95,0.3,-11.18
325,ORD-10325,Central,Technology,Atlanta,27.05,0.2,1.78
326,ORD-10326,Central,Office Supplies,Phoenix,73.21,0.1,7.45
327,ORD-10327,Central,Furniture,Phoenix,73.46,0.0,4.48
328,ORD-10328,West,Technology,Phoenix,95.86,0.0,15.76
329,ORD-10329,West,Office Supplies,Houston,150.61,0.1,14.61
330,ORD-10330,Central,Office Supplies,Los Angeles,127.22,0.3,6.21
331,ORD-10331,South,Office Supplies,Los Angeles,96.38,0.1,13.22
332,ORD-10332,West,Office Supplies,Houston,76.49,0.1,8.56
333,ORD-10333,East,Office Supplies,New York,121.98,0.0,11.08
334,ORD-10334,South,Office Supplies,Houston,167.0,0.3,15.34
335,ORD-10335,West,Office Supplies,Los Angeles,201.9,0.0,33.25
336,ORD-10336,Central,Furniture,Houston,93.58,0.3,1.32
337,ORD-10337,West,Furniture,Phoenix,149.04,0.1,8.4
338,ORD-10338,Central,Technology,Denver,14.09,0.1,1.93
339,ORD-10339,Central,Office Supplies,Denver,99.89,0.3,2.17
340,ORD-10340,West,Technology,Atlanta,51.79,0.0,8.75
341,ORD-10341,West,Office Supplies,Phoenix,89.11,0.0,10.14
342,ORD-10342,Central,Furniture,Phoenix,177.64,0.1,12.42
343,ORD-10343,East,Furniture,Atlanta,124.69,0.2,4.53
344,ORD-10344,Central,Technology,Seattle,316.55,0.3,17.37
345,ORD-10345,East,Furniture,Denver,86.98,0.1,11.15
346,ORD-10346,South,Office Supplies,Houston,81.21,0.1,4.91
347,ORD-10347,East,Technology,Houston,108.98,0.1,15.19
348,ORD-10348,West,Furniture,Phoenix,158.49,0.1,20.95
349,ORD-10349,East,Technology,Los Angeles,213.25,0.1,49.72
350,ORD-10350,South,Technology,Los Angeles,268.06,0.2,18.34
351,ORD-10351,East,Technology,Denver,160.77,0.2,19.62
352,ORD-10352,Central,Office Supplies,New York,92.94,0.3,2.39
353,ORD-10353,Central,Office Supplies,Atlanta,64.15,0.2,5.05
354,ORD-10354,West,Technology,New York,148.47,0.0,31.69
355,ORD-10355,East,Office Supplies,New York,65.2,0.1,8.09
356,ORD-10356,East,Office Supplies,Chicago,137.8,0.0,18.43
357,ORD-10357,Central,Office Supplies,Los Angeles,399.87,0.3,-10.58
358,ORD-10358,Central,Office Supplies,Houston,290.64,0.0,35.53
359,ORD-10359,West,Furniture,Denver,226.76,0.3,15.03
360,ORD-10360,Central,Office Supplies,Denver,105.06,0.2,12.61
361,ORD-10361,East,Office Supplies,Phoenix,76.91,0.3,6.28
362,ORD-10362,East,Furniture,Atlanta,32.95,0.3,1.73
363,ORD-10363,Central,Furniture,Houston,28.63,0.3,1.83
364,ORD-10364,Central,Technology,New York,160.57,0.2,15.99
365,ORD-10365,East,Office Supplies,Phoenix,275.71,0.0,46.79
366,ORD-10366,Central,Furniture,Atlanta,140.99,0.1,8.07
367,ORD-10367,West,Furniture,Phoenix,107.95,0.1,1.08
368,ORD-10368,South,Office Supplies,New York,101.86,0.0,8.55
369,ORD-10369,West,Office Supplies,Los Angeles,156.64,0.0,26.79
370,ORD-10370,West,Furniture,New York,16.64,0.0,2.67
371,ORD-10371,South,Furniture,Los Angeles,94.41,0.2,6.31
372,ORD-10372,East,Furniture,Houston,48.91,0.3,1.45
373,ORD-10373,Central,Technology,Atlanta,96.2,0.2,8.99
374,ORD-10374,West,Technology,Atlanta,29.1,0.2,3.92
375,ORD-10375,East,Office Supplies,Phoenix,198.23,0.0,31.22
376,ORD-10376,West,Technology,Houston,30.44,0.2,2.61
377,ORD-10377,East,Office Supplies,Denver,331.43,0.3,27.22
378,ORD-10378,South,Technology,Phoenix,70.39,0.4,7.29
379,ORD-10379,South,Office Supplies,Atlanta,31.41,0.0,3.89
380,ORD-10380,Central,Office Supplies,Seattle,143.05,0.2,14.76
381,ORD-10381,West,Technology,Houston,136.02,0.0,28.99
382,ORD-10382,Central,Office Supplies,Atlanta,64.0,0.0,10.09
383,ORD-10383,East,Office Supplies,Houston,21.05,0.3,1.87
384,ORD-10384,South,Furniture,Los Angeles,95.4,0.1,5.79
385,ORD-10385,West,Technology,Seattle,25.58,0.0,5.3
386,ORD-10386,South,Office Supplies,Denver,63.45,0.1,4.34
387,ORD-10387,South,Office Supplies,Chicago,71.86,0.1,6.2
388,ORD-10388,East,Office Supplies,Chicago,221.68,0.1,21.6
389,ORD-10389,East,Office Supplies,Atlanta,143.61,0.0,21.85
390,ORD-10390,South,Technology,Houston,372.22,0.0,72.9
391,ORD-10391,South,Technology,Atlanta,133.7,0.1,14.46
392,ORD-10392,West,Furniture,Los Angeles,116.32,0.0,10.1
393,ORD-10393,South,Office Supplies,New York,260.65,0.2,42.76
394,ORD-10394,West,Furniture,Phoenix,146.59,0.1,11.8
395,ORD-10395,West,Office Supplies,New York,58.43,0.3,3.67
396,ORD-10396,West,Office Supplies,New York,157.9,0.0,28.45
397,ORD-10397,West,Office Supplies,Houston,276.12,0.0,46.49
398,ORD-10398,East,Technology,Houston,73.12,0.0,13.4
399,ORD-10399,East,Office Supplies,Atlanta,69.12,0.2,2.51
400,ORD-10400,East,Technology,New York,93.96,0.3,8.82
401,ORD-10401,West,Office Supplies,Atlanta,150.5,0.0,30.75
402,ORD-10402,Central,Technology,Houston,124.95,0.3,7.01
403,ORD-10403,West,Office Supplies,Atlanta,43.25,0.2,5.74
404,ORD-10404,West,Office Supplies,Denver,181.73,0.3,16.32
405,ORD-10405,South,Technology,Phoenix,51.53,0.3,5.61
406,ORD-10406,West,Office Supplies,Denver,68.35,0.3,6.43
407,ORD-10407,South,Technology,Phoenix,114.44,0.1,11.31
408,ORD-10408,South,Office Supplies,New York,108.04,0.1,7.74
409,ORD-10409,East,Technology,Chicago,202.28,0.0,34.44
410,ORD-10410,East,Office Supplies,New York,65.75,0.1,8.43
411,ORD-10411,West,Furniture,Houston,333.55,0.2,40.13
